Opinion,Question,Answer,Sentiment,Confusion,Urgency,CourseType,forum_post_id,course_display_name,forum_uid,created_at,post_type,anonymous,anonymous_to_peers,up_count,comment_thread_id,reads
1,1,0,4,3,4,Education,52110506af94d00e00000037,Education/EDUC115N/How_to_Learn_Math,A24136EC5FC930036EC3851B15BA7EDF,18-08-2013 17:31,Comment,FALSE,FALSE,0,51f40127d4058b0a0000001f,296
1,0,0,4,3.5,2,Education,51e6beb5a5474ff30100002c,Education/EDUC115N/How_to_Learn_Math,D2670317FCBC5120AC4FE197B60BC9DE,17-07-2013 15:56,CommentThread,FALSE,FALSE,1,None,7
1,0,0,3.5,4,1.5,Education,5201b593ad4a41160000009e,Education/EDUC115N/How_to_Learn_Math,26242164DB07E62060C42B483E8E5873,07-08-2013 02:48,Comment,FALSE,FALSE,0,52019ddfb65d7d1600000037,7
1,0,0,3.5,4,2,Education,51ec69f9a1ea4f0e0000005b,Education/EDUC115N/How_to_Learn_Math,B5E81C4697E229B84F290ABC0E4F584C,21-07-2013 23:08,Comment,FALSE,FALSE,0,51ec21ec205b02160000001c,33
1,0,0,3.5,4,1.5,Education,5206ab01b45ea70a00000035,Education/EDUC115N/How_to_Learn_Math,01B1F2A82F8638AF9C20F40A780C86F6,10-08-2013 21:05,CommentThread,FALSE,FALSE,4,None,15
1,0,0,3.5,3.5,2,Education,520c4595df41371600000023,Education/EDUC115N/How_to_Learn_Math,DDDD87063842B33FC62964AB545E0E02,15-08-2013 03:05,Comment,FALSE,FALSE,0,520c37740ff67a1600000059,12
1,0,0,4.5,3.5,2,Education,524059a86c306e1600000034,Education/EDUC115N/How_to_Learn_Math,E972660AF9A1D0D38AF1748E26AC6FE7,23-09-2013 15:09,CommentThread,FALSE,FALSE,0,None,1
1,0,0,4,4,1.5,Education,51e467b72862791600000273,Education/EDUC115N/How_to_Learn_Math,FF3152C27C6F31036A79917D69CBBEA4,15-07-2013 21:20,Comment,FALSE,FALSE,0,51e3716ebf19510e0000001c,9313
1,0,1,3.5,3.5,3,Education,51e8121673317f1600000045,Education/EDUC115N/How_to_Learn_Math,E032FFFD5B5D4A35FE7279F2AF83F0A7,18-07-2013 16:04,CommentThread,FALSE,FALSE,0,None,19
1,0,0,4,4.5,2.5,Education,51fcf8d07e2c52160000006d,Education/EDUC115N/How_to_Learn_Math,A845839DF52AB189E41F63B202D5F22C,03-08-2013 12:34,Comment,FALSE,FALSE,0,51f052a2c0017f0a0000005c,64
1,1,0,3.5,3,2.5,Education,521a9813d03bd71600000028,Education/EDUC115N/How_to_Learn_Math,D5AC153C0AA4D2427EC88379412D164B,25-08-2013 23:49,CommentThread,FALSE,FALSE,0,None,6
1,0,0,4,4,2,Education,520957897ad0491200000049,Education/EDUC115N/How_to_Learn_Math,FBE4D66D13585385BF541931148B6374,12-08-2013 21:45,Comment,FALSE,FALSE,0,520936327ad0490a0000002b,23
1,0,0,4.5,3.5,2,Education,52055797d01fec0a0000008f,Education/EDUC115N/How_to_Learn_Math,FA553B5783CAF586DCBC08881BDDC8A0,09-08-2013 20:56,Comment,FALSE,FALSE,0,52042565d01fec0a00000011,12
1,0,0,4.5,2.5,1.5,Education,520c5d83df41371200000020,Education/EDUC115N/How_to_Learn_Math,80F8A08202F16835389EA7B53C1AF2F0,15-08-2013 04:48,Comment,FALSE,FALSE,0,520c5bd50ff67a0a0000007a,4
1,0,0,4,4,1.5,Education,51ec7afaa1ea4f0a00000061,Education/EDUC115N/How_to_Learn_Math,63AF8E9B11BDFF81BF6D8EEF7AC7A9E7,22-07-2013 00:21,Comment,FALSE,FALSE,0,51e8b6e5a1e51a1200000032,57
1,0,0,4,4,1.5,Education,5206cdb2b45ea71100000048,Education/EDUC115N/How_to_Learn_Math,65967DA31DB7BD131E77532B2592B0E9,10-08-2013 23:33,Comment,FALSE,FALSE,0,52038b4d61cbf51200000004,17
1,0,0,4.5,3.5,2,Education,51f090d0a7f56611000000c4,Education/EDUC115N/How_to_Learn_Math,D1475376060A13402F6442B52442775A,25-07-2013 02:43,CommentThread,FALSE,FALSE,0,None,15
1,0,0,4,4,1.5,Education,5210e606af94d01200000020,Education/EDUC115N/How_to_Learn_Math,8078970A3330E90449CA8C7D865D1319,18-08-2013 15:19,Comment,FALSE,FALSE,0,520f9528d59d51160000007e,16
1,0,0,4,3.5,2,Education,51e6bbf0a5474f0a0000003f,Education/EDUC115N/How_to_Learn_Math,E951F2372444BC920A64569421AB8BA6,17-07-2013 15:44,CommentThread,FALSE,FALSE,0,None,1
1,0,0,4,4,2,Education,523d694be11ed81200000022,Education/EDUC115N/How_to_Learn_Math,ACCBDB9211B83AB356642D6C18658750,21-09-2013 09:39,CommentThread,FALSE,FALSE,0,None,0
1,0,0,4.5,4,2,Education,522885054ffe970a0000000b,Education/EDUC115N/How_to_Learn_Math,8CF37A422FB54789B62CAB31AA0371AB,05-09-2013 13:20,CommentThread,FALSE,FALSE,0,None,14
